Post Date,sentiment
06/16/14,0.219098268121157
06/23/14,0.3136237554561166
06/30/14,0.34251824174814016
07/07/14,0.4005267232620438
07/14/14,0.30062347872977796
07/21/14,0.3214026543080375
07/28/14,0.28809431732070057
08/04/14,0.32639869060567495
08/11/14,0.38491574880504226
08/18/14,0.30691695923761797
08/25/14,0.3802237241047358
09/01/14,0.3823420687010968
09/08/14,0.30766803923377767
09/15/14,0.28459717284031155
09/22/14,0.2685240506019779
09/29/14,0.27760843115215394
10/06/14,0.3198782199863866
10/13/14,0.2818660678908436
10/20/14,0.3112842833194674
10/27/14,0.39480832609515376
11/03/14,0.31953885316705777
11/10/14,0.34681784726735254
11/17/14,0.29262889831281913
11/24/14,0.28623522475575214
12/01/14,0.2929274212529752
12/08/14,0.21453473293860462
12/15/14,0.30154718026586225
12/22/14,0.23663742937687426
12/29/14,0.22871248847332026
01/05/15,0.23078959926016246
01/12/15,0.24910447264651783
01/19/15,0.28009101410300985
01/26/15,0.23548720991846292
02/02/15,0.23942357928281557
02/09/15,0.2108600443882598
02/16/15,0.2368501907064765
02/23/15,0.22824654540697756
03/02/15,0.22289262738738413
03/09/15,0.24928183691457692
03/16/15,0.2642167796706676
03/23/15,0.23720070859524964
03/30/15,0.2489529485711298
04/06/15,0.19340311088943773
04/13/15,0.270377200230027
04/20/15,0.2319959005697855
04/27/15,0.24180396790009528
05/04/15,0.23117370650885094
05/11/15,0.22420554755273317
05/18/15,0.2246228838014171
05/25/15,0.2735228941889637
06/01/15,0.25466707241646097
06/08/15,0.25675179700518685
06/15/15,0.23813214376987246
06/22/15,0.1678638443480042
06/29/15,0.2546906850894919
07/06/15,0.21537671604614378
07/13/15,0.2274500893237008
07/20/15,0.17119470300107034
07/27/15,0.1874343617030386
08/03/15,0.14655845574958623
08/10/15,0.19558951112065034
08/17/15,0.22645409695682944
08/24/15,0.22489258764372902
08/31/15,0.24473092692828974
09/07/15,0.297193978606224
09/14/15,0.23677451143643546
09/21/15,0.22330454983280373
09/28/15,0.1798222229813874
10/05/15,0.17658533101307358
10/12/15,0.23396273912462467
10/19/15,0.23767748566004757
10/26/15,0.21227537200141566
11/02/15,0.1935028460294527
11/09/15,0.21736552537337198
11/16/15,0.1842052593864823
11/23/15,0.1485414446052363
11/30/15,0.10081195750217051
12/07/15,0.1811622657502127
12/14/15,0.2044807008270271
12/21/15,0.29776565445905273
12/28/15,0.19515871891601433
01/04/16,0.1744535277783094
01/11/16,0.26624662588282283
01/18/16,0.25684576258762487
01/25/16,0.1978338005990091
02/01/16,0.2515930391287461
02/08/16,0.2223604082573963
02/15/16,0.22669941115027342
02/22/16,0.16781423626767214
02/29/16,0.2583490353903573
03/07/16,0.23157573161341607
03/14/16,0.24439595665385394
03/21/16,0.25942053013083105
03/28/16,0.20649714078294368
04/04/16,0.19662720649847612
04/11/16,0.2461657627408372
04/18/16,0.2810479864226731
04/25/16,0.29083996511060134
05/02/16,0.3839477739977651
05/09/16,0.21137214186587996
05/16/16,0.2476286698053442
05/23/16,0.31104264316337327
05/30/16,0.2792947952854944
