Ask,Post Date,Predict,Reflect,State,Thought
0,06/16/14,12,0,0,0
0,06/23/14,6,0,5,31
3,06/30/14,3,0,13,69
0,07/07/14,5,0,0,53
1,07/14/14,0,0,9,164
0,07/21/14,0,0,0,273
31,07/28/14,17,0,316,43
65,08/04/14,42,0,402,0
51,08/11/14,14,0,356,0
13,08/18/14,6,0,250,0
49,08/25/14,29,0,452,0
41,09/01/14,15,0,483,0
29,09/08/14,10,0,276,0
43,09/15/14,13,0,185,0
19,09/22/14,8,0,193,0
9,09/29/14,9,0,87,0
11,10/06/14,1,0,81,0
17,10/13/14,12,0,195,0
25,10/20/14,1,0,181,0
4,10/27/14,8,0,189,0
13,11/03/14,15,2,158,0
43,11/10/14,26,54,270,0
49,11/17/14,39,60,462,0
25,11/24/14,43,45,341,0
19,12/01/14,13,40,297,0
71,12/08/14,24,30,291,0
55,12/15/14,28,47,410,0
19,12/22/14,17,18,155,0
56,12/29/14,30,43,295,0
49,01/05/15,62,96,353,0
55,01/12/15,49,64,292,0
57,01/19/15,76,66,295,0
54,01/26/15,47,90,253,0
57,02/02/15,80,83,214,0
26,02/09/15,21,28,117,0
30,02/16/15,21,14,124,0
47,02/23/15,65,57,218,0
39,03/02/15,32,45,151,0
54,03/09/15,48,60,228,0
20,03/16/15,41,56,201,0
45,03/23/15,42,82,209,0
15,03/30/15,35,55,178,0
57,04/06/15,40,57,283,0
24,04/13/15,27,47,164,0
42,04/20/15,26,46,192,0
49,04/27/15,39,29,244,0
98,05/04/15,28,96,392,0
65,05/11/15,48,99,465,0
50,05/18/15,105,67,261,0
19,05/25/15,32,30,143,0
13,06/01/15,28,58,153,0
8,06/08/15,16,27,107,0
23,06/15/15,26,40,117,0
26,06/22/15,22,37,110,0
18,06/29/15,30,43,166,0
31,07/06/15,26,75,240,0
18,07/13/15,16,48,125,0
14,07/20/15,3,27,102,0
21,07/27/15,20,48,185,0
6,08/03/15,0,14,33,0
10,08/10/15,2,29,73,0
8,08/17/15,3,19,69,0
35,08/24/15,13,49,114,0
47,08/31/15,9,32,96,0
11,09/07/15,3,27,62,0
16,09/14/15,13,30,54,0
4,09/21/15,0,12,26,0
27,09/28/15,14,22,89,0
14,10/05/15,9,10,65,0
22,10/12/15,10,23,114,0
30,10/19/15,17,21,71,0
49,10/26/15,8,26,134,0
58,11/02/15,31,57,143,0
19,11/09/15,17,28,51,0
1,11/16/15,2,5,15,0
1,11/23/15,1,6,6,0
2,11/30/15,2,8,11,0
29,12/07/15,4,7,61,0
27,12/14/15,33,33,75,0
13,12/21/15,10,8,73,0
53,12/28/15,39,100,147,0
29,01/04/16,11,8,63,0
22,01/11/16,7,11,46,0
21,01/18/16,20,12,92,0
32,01/25/16,16,29,138,0
20,02/01/16,7,18,88,0
15,02/08/16,1,3,53,0
24,02/15/16,20,17,75,0
0,02/22/16,12,1,4,0
