Ask,NULL,date,Predict,State
6,0,7/30/14,0,86
3,0,7/31/14,4,46
1,0,8/1/14,3,26
14,0,8/2/14,4,65
1,0,8/3/14,3,21
3,0,8/4/14,3,39
2,0,8/5/14,1,7
5,0,8/6/14,5,26
34,0,8/7/14,9,134
3,0,8/8/14,13,34
2,0,8/9/14,1,20
6,0,8/10/14,3,76
19,0,8/11/14,3,116
4,0,8/12/14,2,80
3,0,8/13/14,0,11
3,0,8/14/14,0,4
15,0,8/15/14,4,52
0,0,8/16/14,4,1
0,0,8/17/14,0,15
